year,n,k,occ,words,rate,lo,hi,per_100k_words
1939,2336,187,215,5603992,0.0800513698630137,0.06972339961978416,0.09175830067992843,3.836550801642829
1940,2549,226,272,5740191,0.08866222047861906,0.07823696299879733,0.10032546719663664,4.738518282754006
1941,2448,199,227,5932042,0.08129084967320262,0.07110969604964634,0.09278408893222197,3.826675536012725
1942,2592,224,253,6131037,0.08641975308641975,0.07620521632649863,0.09785840912738114,4.126544987414038
1943,2323,216,261,5435136,0.09298321136461472,0.08183605902652309,0.10547432772262219,4.802087749046206
1944,2361,199,223,5374896,0.084286319356205,0.07374398241105712,0.09617928010259284,4.148917486031357
1945,2177,206,232,5189407,0.09462563160312357,0.08303432920325865,0.10764508556946029,4.470645682637727
1946,2047,217,252,4740012,0.10600879335613092,0.0934026026460542,0.12009101870432216,5.316442236855096
1947,2078,216,262,5065277,0.1039461020211742,0.0915465598185458,0.11780731225318146,5.172471317955563
1948,2127,218,279,5309256,0.10249177244945933,0.09031062205917027,0.1161062228156435,5.254973578218869
1949,2249,211,247,5270223,0.0938194753223655,0.08245169662864926,0.10657251173113955,4.686708702838571
1950,2344,212,236,5302342,0.09044368600682594,0.07949266948638603,0.10273495609108052,4.450863410922947
1951,2297,228,257,5258100,0.09925990422289943,0.08769271341162097,0.11216528637419655,4.887697076890892
1952,2616,234,258,5703298,0.08944954128440367,0.0791065060202365,0.10099659639633707,4.523698393455857
1953,2620,253,310,5780713,0.09656488549618321,0.08583839368775718,0.10847272631277943,5.362660280833869
1954,2687,234,274,5867901,0.08708596948269445,0.07700545821818876,0.09834548031345874,4.669472099137324
1955,3351,297,358,7523451,0.08863025962399283,0.0794723710185367,0.09873026006842726,4.758454597497877
1956,3712,406,480,8273373,0.109375,0.09973533981372029,0.11982235069709159,5.801744947314717
1957,3707,402,465,8676941,0.1084434852980847,0.09883611562367245,0.11886156244482823,5.3590314835608535
1958,3986,433,523,8616574,0.10863020572002006,0.09934401194330819,0.11867005658512661,6.06969777083096
1959,3657,409,472,8333882,0.11184030626196335,0.10202987254358319,0.12246539105919055,5.66362710679129
1960,3794,452,562,9013649,0.1191354770690564,0.10921055190076272,0.12983090785890705,6.234988737635557
1961,3806,444,542,9248372,0.11665790856542302,0.10684360033007029,0.12724529197453366,5.8604909058588905
1962,4269,501,606,10360860,0.11735769501054111,0.10804517720666575,0.1273582601685929,5.848935320041
1963,4293,542,672,10527526,0.12625203820172373,0.11664955221875943,0.13652282444041272,6.3832661158946555
1964,4415,559,695,10400757,0.12661381653454135,0.11712810060221707,0.1367487525531438,6.6822059202036925
1965,4563,566,666,10569120,0.12404120096427788,0.11479189511383486,0.13392301542740218,6.3013760842908395
1966,5005,606,731,11729247,0.12107892107892108,0.11233052246024018,0.13040855717046723,6.232284135545957
1967,5222,726,917,12280993,0.1390271926464956,0.1299083714122807,0.14867672768448492,7.466822918961032
1968,5453,793,1040,12643808,0.14542453695213645,0.1363172126140047,0.1550311013997281,8.225370078381449
1969,6473,939,1209,15094584,0.14506411246717132,0.1366953323931407,0.1538539377943532,8.009495326270669
1970,7521,1106,1402,16433122,0.14705491291051723,0.1392309023241163,0.15523929622464788,8.531549878349349
1971,7970,1132,1439,17775423,0.14203262233375158,0.1345409728666743,0.14986919148873507,8.09544729259045
1972,7739,1196,1510,18922004,0.15454193048197443,0.14666003657250504,0.1627666214647716,7.980127263475898
1973,6885,1233,1626,19372888,0.17908496732026144,0.17020771796377415,0.18832013670485404,8.393172974519855
1974,6972,1376,1801,20561492,0.19736087205966724,0.18818601474146468,0.20686905646313378,8.75909199585322
1975,6819,1466,2005,21642015,0.21498753482915384,0.20539862687629878,0.2248973952385925,9.264386888189478
1976,6876,1482,2044,21977398,0.21553228621291448,0.20597331473959943,0.22540894266586176,9.300464049474828
1977,7340,1776,2524,24724124,0.24196185286103541,0.23230070177023995,0.25189296602346634,10.208652893020597
1978,7683,1912,2702,26359360,0.24886112195756865,0.23932039653258305,0.2586528672848995,10.250628239835867
1979,7459,1908,2746,26046233,0.25579836439200965,0.24602411680322697,0.2658240242587513,10.542791351056408
1980,8912,2286,3325,31859250,0.25650807899461403,0.2475474749938503,0.2656785114346211,10.436529422381254
1981,9403,2572,3849,34649869,0.2735297245559928,0.2646133846174333,0.28263103799514694,11.108267104848219
1982,9406,2609,3895,33951281,0.2773761428875186,0.26842059343929014,0.2865134662371235,11.472321176924074
1983,10300,2688,3904,37341897,0.26097087378640776,0.252579768619919,0.2695402142804392,10.454744706729816
1984,10483,2834,4162,37690209,0.270342459219689,0.2619255566488659,0.2789276207272471,11.042655666886857
1985,12281,2924,4087,41008240,0.23809136063838449,0.2306410901482548,0.24570543433603326,9.96628970177701
1986,13388,3038,4306,39809241,0.2269196295189722,0.21990364602546922,0.23409228534815157,10.816584018770918
1987,13111,2882,4182,40705177,0.21981542216459463,0.2128093679741594,0.22698561971368278,10.273877448070058
1988,12318,2946,4223,41029561,0.23916220165611302,0.23171107995042042,0.24677596698581028,10.292579050504585
1989,12004,2756,4105,40627235,0.2295901366211263,0.22215366839842576,0.23719962620199603,10.10405950589549
1990,13662,3116,4527,42735981,0.2280778802517933,0.2211188708102685,0.2351897695591618,10.592947427602049
1991,13537,2981,4172,42855355,0.22021127280785993,0.2133104227165943,0.22727087763625817,9.735072781452866
1992,17479,3626,5014,49425914,0.20744893872647177,0.2015022585038282,0.21352418662509187,10.144476033361771
1993,17398,3770,5244,50557732,0.21669157374410852,0.2106324657357782,0.2228757670940161,10.372300719502212
1994,17737,3767,5411,52306713,0.21238089868636184,0.2064244053394483,0.21846195405400917,10.344752498594206
1995,18559,3613,5065,50962343,0.19467643730804463,0.1890431983514286,0.20043605034290923,9.938711020409716
1996,16497,3721,5400,51383133,0.2255561617263745,0.2192426046076541,0.23199750668460872,10.509285216220661
1997,17407,3758,5548,51171342,0.21589015913138393,0.2098409790982366,0.2220647135019419,10.842006058781886
1998,15621,3517,5006,50121252,0.2251456372831445,0.21866363830698413,0.2317627903359789,9.987779235841915
1999,13183,3338,4953,47491212,0.25320488507926875,0.24585440773606668,0.26069915547652245,10.429297950955641
2000,14016,3244,4625,48865087,0.2314497716894977,0.22454146525944302,0.2385052499045856,9.464835292322308
2001,19920,4049,5799,54626106,0.20326305220883534,0.19773197654682925,0.2089085580777785,10.615803366983544
2002,21298,3882,5484,54259436,0.1822706357404451,0.17714307383048436,0.1875127970497122,10.10699779481674
2003,20511,3804,5276,54912537,0.18546145970454878,0.18020134435123397,0.19083937574869603,9.608006273685733
2004,20890,3885,5485,57049578,0.18597415031115366,0.1807557236020553,0.19130805235765141,9.614444474944232
2005,21803,4146,6083,58136380,0.1901573178003027,0.18500306878175596,0.1954207336271174,10.463327782018762
2006,23003,4145,5981,58901454,0.18019388775377124,0.1752804694965353,0.18521410616916578,10.154248484256433
2007,23003,4170,6036,60246197,0.181280702517063,0.17635545350813497,0.18631238873927722,10.018889657051714
2008,21917,4281,6149,59602908,0.19532782771364693,0.1901326452023728,0.20062979705714334,10.316610726443079
2009,22778,4112,6089,57809806,0.1805250680481166,0.17558407744877827,0.1855738019036969,10.53281514212312
2010,12989,3059,4677,46807017,0.2355069674339826,0.22828861975440864,0.2428817206890553,9.992091570372878
2011,12434,3030,4706,44619013,0.2436866655943381,0.2362205712060389,0.2513110918439231,10.54707328465558
2012,16360,3114,4617,46171696,0.19034229828850857,0.18439960753562576,0.19643038045448039,9.9996326753949
2013,13956,2905,4321,42629695,0.2081541989108627,0.20149917058699893,0.2149698529583685,10.136126941560338
2014,12478,2946,4470,42317519,0.23609552812950793,0.2287258991083238,0.24362760359916136,10.563001105995841
2015,12962,2930,4398,40609478,0.22604536336985034,0.21892642670421367,0.23332663799464864,10.82998407416121
2016,10481,2573,3982,37292489,0.24549184238145216,0.23734649228051227,0.25382369382892783,10.677753367440827
